Lexical item,Level
salsa vinagreta,C1
salsa de soja,C1
salsa roquefort,C1
salsa verde,C1
huevo de avestruz,C1
huevo de codorniz,C1
corteza de limón,C1
corteza de pan,C1
helado de turrón,C1
helado de leche merengada,C1
escurrir la pasta,C1
moler el trigo,C1
moler el café,C1
sofreír cebollas,C1
saltear verduras,C1
rehogar verduras,C1
cortar en rodajas,C1
cortar en rajas,C1
cortar en pedazos,C1
pasarse el arroz,C1
pegarse el arroz,C1
apetitoso,C1
empalagoso,C1
dulzón,C1
insulso,C1
insípido,C1
acidez,C1
dulzor,C1
amargor,C1
saborear una comida,C1
saborear un plato,C1
apreciar una comida,C1
apreciar un plato,C1
vajilla,C1
cristalería,C1
cubertería,C1
mantelería,C1
batería de cocina,C1
juego de café,C1
juego de té,C1
cucharilla,C1
cucharón,C1
colador,C1
trapo de cocina,C1
paño de cocina,C1
plato sopero,C1
plato hondo,C1
plato llano,C1
plato de postre,C1
tasca,C1
chiringuito,C1
mesón,C1
taberna,C1
restaurante de renombre internacional,C1
cocina imaginativa,C1
cocina de autor,C1
entrante,C1
entremés,C1
centro acreditado,C1
conservatorio,C1
liceo,C1
rectorado,C1
decanato,C1
pedagogo,C1
docente,C1
preparador,C1
educador,C1
instructor,C1
decano,C1
lector,C1
discípulo,C1
becario,C1
repetidor,C1
tribunal,C1
tribunal de examen,C1
claustro,C1
claustro de profesores,C1
disciplina,C1
materia troncal,C1
materia optativa,C1
curso preparatorio,C1
curso de acceso a la universidad,C1
estudios de grado medio,C1
estudios de grado superior,C1
etapa educativa,C1
etapa formativa,C1
formación reglada,C1
formación académica,C1
formación continua,C1
titulación mínima,C1
titulación requerida,C1
titulación académica,C1
titulación básica,C1
taller,C1
cursillo,C1
charla,C1
fracaso escolar,C1
formalizar la matrícula,C1
optar a una beca,C1
optar a una plaza,C1
otorgar una beca,C1
otorgar una plaza,C1
denegar una beca,C1
denegar una plaza,C1
firmar las actas,C1
cambiar las actas,C1
revisar las actas,C1
convalidar una asignatura,C1
convalidar unos estudios,C1
cursar estudios,C1
acreditar estudios,C1
cursar estudios,C1
acreditar haber realizado estudios,C1
sancionar a un alumno,C1
sancionar a un profesor,C1
expulsar a un alumno,C1
expulsar a un profesor,C1
inaugurar un curso,C1
clausurar un curso,C1
dar una clase magistral,C1
hacer un curso de reciclaje,C1
reciclarse,C1
hacer novillos,C1
hacer una novatada,C1
hacer frente a el fracaso escolar,C1
afrontar el fracaso escolar,C1
superar el fracaso escolar,C1
favorecer el aprendizaje,C1
favorecer una educación de calidad,C1
promover el aprendizaje,C1
promover una educación de calidad,C1
didáctica,C1
pedagogía,C1
adquisición de conocimientos,C1
proceso de aprendizaje,C1
proceso enseñanza,C1
sistema de aprendizaje,C1
sistema enseñanza,C1
método de aprendizaje,C1
método enseñanza,C1
aprendizaje formal,C1
aprendizaje académico,C1
aprendizaje autónomo,C1
conocimiento previo,C1
conocimiento adquirido,C1
conocimiento formal,C1
conocimiento teórico,C1
conocimiento práctico,C1
área de conocimiento,C1
objeto de conocimiento,C1
técnica de estudio,C1
estrategia de aprendizaje,C1
experto en la materia,C1
especialista en la materia,C1
empollón,C1
novato,C1
instructivo,C1
pedagógico,C1
lúdico,C1
dar estudios,C1
recibir formación,C1
adquirir conocimientos,C1
asimilar conocimientos,C1
transmitir conocimientos,C1
dominar una materia,C1
dominar un tema,C1
inducir,C1
extraer conclusiones,C1
empollar,C1
calificación media,C1
calificación final,C1
calificación global,C1
calificación justa,C1
calificación injusta,C1
calificación alta,C1
calificación baja,C1
calificación oficial,C1
examinar,C1
evaluar,C1
puntuar,C1
hacer un examen de recuperación,C1
hacer un examen tipo test,C1
hacer una prueba de recuperación,C1
hacer una prueba tipo test,C1
corregir a fondo,C1
corregir de forma imparcial,C1
corregir de forma objetiva,C1
mejorar una nota,C1
subir una nota,C1
bajar una nota,C1
recuperar una nota,C1
revisar un examen,C1
revisar una prueba,C1
superar un examen,C1
superar una prueba,C1
sacar el curso,C1
sacar una asignatura,C1
sacarse el curso,C1
sacarse una asignatura,C1
obtener buenos resultados,C1
obtener buenas notas,C1
obtener malos resultados,C1
obtener malas notas,C1
buen expediente académico,C1
mal expediente académico,C1
brillante expediente académico,C1
aprobar por los pelos,C1
tesina,C1
memoria,C1
trabajo de investigación,C1
sacarse el graduado escolar,C1
sacarse un título,C1
obtener el graduado escolar,C1
obtener un título,C1
presentar la tesis doctoral,C1
presentar un trabajo de investigación,C1
ampliar estudios,C1
libro de escolaridad,C1
defender la tesis doctoral,C1
leer la tesis doctoral,C1
colgar los estudios,C1
retomar los estudios,C1
carpeta de anillas,C1
archivador,C1
proyector de diapositivas,C1
cañón,C1
asalariado,C1
operario,C1
trabajador de la construcción,C1
trabajador del sector servicios,C1
aprendiz,C1
aspirante,C1
suplente,C1
becario,C1
ocupar un cargo honorífico,C1
ocupar un cargo vitalicio,C1
ocupar un puesto honorífico,C1
ocupar un puesto vitalicio,C1
desempeñar un cargo directivo,C1
desempeñar un cargo ejecutivo,C1
desempeñar un puesto directivo,C1
desempeñar un puesto ejecutivo,C1
labor,C1
quehacer,C1
trabajo gratificante,C1
trabajo absorbente,C1
trabajo exhaustivo,C1
trabajo bien remunerado,C1
trabajo precario,C1
trabajar como autónomo,C1
trabajar media jornada,C1
trabajar por horas,C1
trabajar por cuenta propia,C1
trabajar por libre,C1
desempeñar una profesión,C1
desempeñar un oficio,C1
desempeñar una función administrativa,C1
desempeñar una función directiva,C1
desempeñar una función ejecutiva,C1
ejercer una función administrativa,C1
ejercer una función directiva,C1
ejercer una función ejecutiva,C1
ejecutar un trabajo,C1
ejecutar un servicio,C1
ejecutar una tarea,C1
agilizar un servicio,C1
volcarse en un trabajo,C1
volcarse en una función,C1
volcarse en un servicio,C1
volcarse en una tarea,C1
acumularse un trabajo,C1
delegar un trabajo,C1
centralizar un trabajo,C1
desbordar un trabajo,C1
hacer un trabajo exhaustivo,C1
hacer un trabajo impecable,C1
hacer un trabajo minucioso,C1
hacer un trabajo riguroso,C1
realizar un trabajo exhaustivo,C1
realizar un trabajo impecable,C1
realizar un trabajo minucioso,C1
realizar un trabajo riguroso,C1
ejecutar un trabajo exhaustivo,C1
ejecutar un trabajo impecable,C1
ejecutar un trabajo minucioso,C1
ejecutar un trabajo riguroso,C1
ostentar un cargo,C1
asumir un cargo,C1
suministrar productos,C1
proveer mercancías,C1
cerrar una operación,C1
hacer un negocio redondo,C1
trabajar como un burro,C1
trabajar de sol a sol,C1
trabajar contra reloj,C1
trabajar por amor al arte,C1
no dar ni golpe,C1
población activa,C1
agencia de colocación,C1
bolsa de empleo,C1
bolsa de trabajo,C1
mano de obra barata,C1
mano de obra especializada,C1
currículum académico,C1
currículum profesional,C1
cese,C1
dimisión,C1
expulsión,C1
destitución,C1
despido libre,C1
despido ilegal,C1
cesar,C1
expulsar,C1
dimitir,C1
destituir,C1
currículum brillante,C1
currículum extenso,C1
currículum amplio,C1
haber un puesto libre,C1
haber un puesto vacante,C1
haber un puesto disponible,C1
quedarse un puesto libre,C1
quedarse un puesto vacante,C1
quedarse un puesto disponible,C1
cubrir una vacante,C1
entrar en un trabajo,C1
entrar en una empresa,C1
colocarse en una empresa,C1
sacar unas oposiciones,C1
sacarse unas oposiciones,C1
obtener una plaza,C1
emplear,C1
subcontratar,C1
estar bien colocado,C1
estar bien situado,C1
echar del trabajo,C1
echar a la calle,C1
solicitar el subsidio de desempleo,C1
cobrar el subsidio de desempleo,C1
denegar el subsidio de desempleo,C1
tener enchufe,C1
sueldo bruto,C1
sueldo neto,C1
salario mínimo interprofesional,C1
prestación,C1
retribución,C1
categoría profesional,C1
pagos en especie,C1
beneficios fiscales,C1
letra pequeña del contrato,C1
acoso laboral,C1
explotación laboral,C1
riesgos laboral,C1
acoso laborales,C1
explotación laborales,C1
riesgos laborales,C1
negociar el sueldo,C1
negociar el horario,C1
negociar las condiciones laborales,C1
cumplir un contrato,C1
prorrogar un contrato,C1
ampliar un contrato,C1
incumplir un contrato,C1
prorrogar un contrato,C1
ampliar un contrato,C1
congelar el sueldo,C1
congelar el salario,C1
recortar el sueldo,C1
recortar el salario,C1
pedir un año sabático,C1
pedir un día de asuntos propios,C1
pedir una excedencia,C1
disfrutar de un año sabático,C1
disfrutar de un día de asuntos propios,C1
disfrutar de una excedencia,C1
sindicarse,C1
afiliarse,C1
dimitir,C1
presentar la dimisión,C1
maestría,C1
dominio,C1
buena disposición,C1
brillante,C1
eficiente,C1
emprendedor,C1
entretenimiento,C1
distracción,C1
diversión nocturna,C1
diversión sana,C1
diversión alternativa,C1
diversión peligrosa,C1
diversión arriesgada,C1
diversión nocturna,C1
diversión insana,C1
diversión alternativa,C1
diversión peligrosa,C1
diversión arriesgada,C1
fiesta animada,C1
fiesta concurrida,C1
fiesta desenfrenada,C1
fiesta espectacular,C1
distraerse,C1
hacer algo por diversión,C1
dejar pasar el tiempo,C1
trasnochar,C1
vaguear,C1
hacer el vago,C1
estar desocupado,C1
estar ocioso,C1
espectáculo de mimo,C1
espectáculo de marionetas,C1
espectáculo de títeres,C1
espectáculo de guiñol,C1
espectáculo de juegos malabares,C1
exposición antológica,C1
exposición colectiva,C1
exposición itinerante,C1
exposición permanente,C1
proyección de cine,C1
feria,C1
