Lexical item,Level
reservar una mesa,A2
tomar algo,A2
tomar el menú,A2
tomar una sopa,A2
tomar el plato del día,A2
pedir algo,A2
pedir el menú,A2
pedir una sopa,A2
pedir el plato del día,A2
pedir la carta,A2
pedir el menú,A2
pedir la cuenta,A2
traer la carta,A2
traer el menú,A2
traer la cuenta,A2
pedir la carta,A2
pedir el menú del día,A2
pedir la cuenta,A2
traer la carta,A2
traer el menú del día,A2
traer la cuenta,A2
colegio,A2
academia de idiomas,A2
academia de ballet,A2
academia de música,A2
escuela de idiomas,A2
escuela de ballet,A2
escuela de música,A2
biblioteca municipal,A2
biblioteca pública,A2
aula,A2
compañero de clase,A2
alumno de la escuela,A2
alumno del instituto,A2
programa,A2
programa del curso,A2
pagar la matrícula,A2
hacer un curso,A2
dar clases,A2
diploma,A2
certificado,A2
aprobar,A2
suspender,A2
Matemáticas,A2
Historia,A2
Medicina,A2
Derecho,A2
preguntar,A2
contestar,A2
completar,A2
dibujar,A2
jugar,A2
adivinar,A2
hacer una redacción,A2
hacer un dibujo,A2
memorizar una regla,A2
memorizar una fórmula,A2
aprender una regla,A2
aprender una fórmula,A2
repasar un ejercicio,A2
repasar una unidad,A2
repasar una lección,A2
cometer un error,A2
hacer errores,A2
tener buena letra,A2
tener mala letra,A2
cuaderno,A2
hoja,A2
regla,A2
impresora,A2
fotocopiadora,A2
dependiente,A2
funcionario,A2
comercial,A2
empresario,A2
trabajar de canguro,A2
hacer de canguro,A2
tener una tienda,A2
tener un negocio,A2
tener una peluquería,A2
tener un trabajo en un banco,A2
despacho,A2
negocio,A2
fábrica,A2
multinacional,A2
panadería,A2
librería,A2
traje,A2
corbata,A2
uniforme,A2
negocio,A2
cliente,A2
comprar un producto,A2
tener una reunión,A2
hacer fotocopias,A2
preparar una factura,A2
contestar al teléfono,A2
hablar con clientes,A2
hablar con el jefe,A2
enviar un fax,A2
enviar un correo electrónico,A2
tener una entrevista,A2
tener una entrevista de trabajo,A2
escribir el currículum,A2
enviar el currículum,A2
ganar dinero,A2
estar jubilado,A2
tiempo libre,A2
afición,A2
hobby,A2
parque de atracciones,A2
parque zoológico,A2
zoo,A2
invitar,A2
quedar,A2
ir de paseo,A2
ir de compras,A2
ir de excursión,A2
pasear,A2
caminar,A2
tener una cita,A2
tener planes,A2
salir con amigos,A2
tomar algo,A2
tomar un café,A2
tomar una caña,A2
tomar una copa,A2
entrada,A2
invitación,A2
programa,A2
exposición,A2
obra de teatro,A2
ópera,A2
musical,A2
concierto de música clásica,A2
concierto de rock,A2
comprar una entrada,A2
reservar una entrada,A2
comprar una entrada por teléfono,A2
comprar una entrada por Internet,A2
reservar una entrada por teléfono,A2
reservar una entrada por Internet,A2
gimnasio,A2
piscina,A2
practicar un deporte,A2
montar en bicicleta,A2
hacer senderismo,A2
jugar a las cartas,A2
jugar al parchís,A2
jugar a la oca,A2
jugar al ajedrez,A2
recibir una postal,A2
recibir un fax,A2
recibir una llamada,A2
recibir un correo,A2
responder a una postal,A2
responder a un fax,A2
responder a una llamada,A2
responder a un correo,A2
preguntar,A2
contestar,A2
enviar,A2
recibir,A2
responder,A2
fax,A2
enviar una postal,A2
enviar una carta,A2
enviar un fax,A2
recibir una postal,A2
recibir una carta,A2
recibir un fax,A2
responder una postal,A2
responder una carta,A2
responder un fax,A2
dejar una nota,A2
escribir una nota,A2
ir a Correos,A2
tarjeta telefónica,A2
cabina,A2
llamar por teléfono,A2
hablar por teléfono,A2
dejar un mensaje,A2
entrevista,A2
periodista,A2
programa,A2
anuncios,A2
publicidad,A2
presentador,A2
ver un programa de televisión,A2
escuchar un programa de radio,A2
dirección de Internet,A2
foro,A2
foro de discusión,A2
chat,A2
virus,A2
navegar por Internet,A2
navegar por la red,A2
mandar un mensaje electrónico,A2
recibir un mensaje electrónico,A2
enviar un mensaje electrónico,A2
escribir un mensaje electrónico,A2
buscar piso,A2
buscar alojamiento,A2
compartir piso,A2
cambiarse de casa,A2
edificio,A2
chalé,A2
piso de estudiantes,A2
pasillo,A2
suelo,A2
techo,A2
pared,A2
dormitorio de invitados,A2
propietario,A2
piso de [número cardinal] habitaciones,A2
amueblado,A2
sin amueblar,A2
en buen estado,A2
mal estado,A2
limpio,A2
sucio,A2
limpiar la casa,A2
limpiar la cocina,A2
limpiar el baño,A2
lavar los platos,A2
lavar la ropa,A2
cocina eléctrica,A2
cocina de gas,A2
nevera,A2
lavadora,A2
lavaplatos,A2
microondas,A2
cocina,A2
correos,A2
oficina de correos,A2
enviar una carta,A2
enviar una postal,A2
recibir una carta,A2
recibir una postal,A2
ir a Correos,A2
moneda,A2
billete,A2
cajero automático,A2
Seguridad Social,A2
ambulancia,A2
Cruz Roja,A2
comisaría,A2
comisaría de policía,A2
socorro,A2
llamar a la policía,A2
llamar a los bomberos,A2
teléfono de emergencia,A2
centro comercial,A2
papelería,A2
peluquería,A2
quiosco,A2
estanco,A2
frutería,A2
carnicería,A2
panadería,A2
tienda de ropa,A2
tienda de de deportes,A2
tienda de de regalos,A2
tienda de de decoración,A2
tienda de de discos,A2
agencia de viajes,A2
frutero,A2
carnicero,A2
panadero,A2
dependiente,A2
cliente,A2
devolver,A2
cambiar,A2
ir de compras,A2
ir de tiendas,A2
hacer la compra,A2
blusa,A2
traje,A2
pijama,A2
cazadora,A2
gorra,A2
sombrero,A2
pañuelo,A2
guantes,A2
bufanda,A2
sujetador,A2
braga,A2
calzoncillo,A2
medias,A2
calcetines,A2
bañador,A2
biquini,A2
botas,A2
probador,A2
ropa de hombre,A2
ropa de mujer,A2
ropa de niño,A2
ponerse,A2
quitarse,A2
probarse,A2
docena de huevos,A2
lata de tomate,A2
lata de atún,A2
