Group,Title,Text file,Total,Count B1,Count C2,Count B2,Count A1,Count C1,Count A2,Count,Freq B1,Freq C2,Freq B2,Freq A1,Freq C1,Freq A2,Freq,TFIDF B1,TFIDF C2,TFIDF B2,TFIDF A1,TFIDF C1,TFIDF A2,TFIDF,msttr,mattr,ttr,rttr,cttr,mtld,hdd,Herdan,Summer,Dugast,Maas
FLL1,FLL1_3,data/texts/FLL1_3.txt,420,32,32,29,7,27,7,134,0.0761904761904762,0.0761904761904762,0.06904761904761905,0.016666666666666666,0.06428571428571428,0.016666666666666666,0.319047619047619,0.07740953342150213,0.06467373184919249,0.0616939937688091,0.010906255523050514,0.05556167846311648,0.011174893333052011,0.2804077808331043,0.7033333333333333,0.7034980988593152,0.5248618784530387,9.986178293325098,7.06129438934808,78.68430608212742,0.8172100904913008,0.8905873952178923,0.9346649307602696,53.84794762503669,0.018570809921361765
FLL1,FLL1_4,data/texts/FLL1_4.txt,525,34,36,36,10,29,16,161,0.06476190476190476,0.06857142857142857,0.06857142857142857,0.01904761904761905,0.05523809523809524,0.030476190476190476,0.30666666666666664,0.0666200682902398,0.06333634538230844,0.07181594600577508,0.016663122178333094,0.06329056491839216,0.04321131843715916,0.328440293785178,0.705,0.7168292682926822,0.47435897435897434,10.261953630166738,7.256297000112808,74.48014440433212,0.8199714237938225,0.8787029747651874,0.9288029193034437,50.68935766573953,0.019728006943672338
ICE1,ICE1_1,data/texts/ICE1_1.txt,526,35,32,46,11,26,13,163,0.06653992395437262,0.060836501901140684,0.08745247148288973,0.02091254752851711,0.049429657794676805,0.024714828897338403,0.30988593155893535,0.061443112937808846,0.0389022938767542,0.09073616512685485,0.013301212999308488,0.05226320398059333,0.019103221173744755,0.27935075099306933,0.6975,0.6898092643051758,0.49141630901287553,10.60822015061662,7.501144404820791,78.38029650534186,0.8123128048605747,0.8843681371497968,0.9323153742652784,53.13574894218568,0.018819721560489333
ICE1,ICE1_2,data/texts/ICE1_2.txt,545,33,45,64,5,30,24,201,0.060550458715596334,0.08256880733944955,0.11743119266055047,0.009174311926605505,0.05504587155963303,0.044036697247706424,0.3688073394495413,0.06886939566482857,0.07645261905528852,0.13654587210896965,0.013431865017698032,0.060769524414626484,0.03984915358525268,0.4013927027829156,0.685,0.6935549872122763,0.4775510204081633,10.57104246399144,7.474855810499297,81.66666666666667,0.8146155812527331,0.8806851942870393,0.9303291275836951,51.91648558693331,0.019261704421912693
ICE1,ICE1_3,data/texts/ICE1_3.txt,378,25,36,30,7,16,7,121,0.06613756613756613,0.09523809523809523,0.07936507936507936,0.018518518518518517,0.042328042328042326,0.018518518518518517,0.3201058201058201,0.04878253104882233,0.05853566026310142,0.06914739382802358,0.01833361287218169,0.030394839349212364,0.01265438934877629,0.24468220753009468,0.7033333333333335,0.7104700854700853,0.5255255255255256,9.589940926145841,6.781112260056124,88.8817180470451,0.8267616376118654,0.8892319675065177,0.9332690491554334,52.435186932856254,0.01907116305851087
ICE1,ICE1_4,data/texts/ICE1_4.txt,474,28,48,32,6,34,10,158,0.05907172995780591,0.10126582278481013,0.06751054852320675,0.012658227848101266,0.07172995780590717,0.02109704641350211,0.3333333333333333,0.06807447672107539,0.0883741290286886,0.06072498715514083,0.008966988202047195,0.07882448276866955,0.02363264219454058,0.333317292289607,0.7175,0.7184210526315784,0.5213270142180095,10.70943243724718,7.572712299036657,93.59509476544416,0.8363935190124615,0.892245294446441,0.9366317587615001,56.09968755407501,0.017825411220625618
IDE1,IDE1_1,data/texts/IDE1_1.txt,723,43,43,44,17,50,9,206,0.059474412171507604,0.059474412171507604,0.06085753803596127,0.02351313969571231,0.06915629322268327,0.012448132780082987,0.28492392807745504,0.06235367612260631,0.05045365052195476,0.059530823051595315,0.015480276291001202,0.06986540364542959,0.010312011491224916,0.27067532346687867,0.69,0.6984934086629031,0.46984126984126984,11.792922278766017,8.338855313321362,82.08308610843284,0.8059293882421513,0.8828121007075481,0.9331105473369848,55.003288379628366,0.01818073117916294
IDE1,IDE1_2,data/texts/IDE1_2.txt,684,32,43,51,5,45,10,186,0.04678362573099415,0.06286549707602339,0.07456140350877193,0.007309941520467836,0.06578947368421052,0.014619883040935672,0.2719298245614035,0.04978113372342746,0.06649120113889728,0.08789770979027577,0.007234961724297271,0.07784656046381817,0.021753350395621707,0.31127084403419636,0.7149999999999999,0.7209325396825411,0.5257048092868989,12.909237953649585,9.128209696976374,94.30218216318787,0.8208907929939671,0.8995589285068182,0.942986719094696,63.73804163530617,0.015689217527607154
IDE1,IDE1_3,data/texts/IDE1_3.txt,459,29,44,25,4,39,3,144,0.06318082788671024,0.09586056644880174,0.054466230936819175,0.008714596949891068,0.08496732026143791,0.006535947712418301,0.3137254901960784,0.0622059095784915,0.09754982342959825,0.04621705421343554,0.003575662432158604,0.09348793263722367,0.008419069366681905,0.3093790249046061,0.7374999999999999,0.7486644951140066,0.5714285714285714,11.51396667406279,8.141603913585719,124.1449718988358,0.8365411506405313,0.9068293566719727,0.9454484506767238,64.46615527226828,0.015512015502965396
IDE1,IDE1_4,data/texts/IDE1_4.txt,558,30,38,38,12,18,11,147,0.053763440860215055,0.06810035842293907,0.06810035842293907,0.021505376344086023,0.03225806451612903,0.01971326164874552,0.26344086021505375,0.06381681445080012,0.06020789369438066,0.08340237519945945,0.027844572127591668,0.04624335935645581,0.0262171767971158,0.3151903728896039,0.7375,0.7253148614609567,0.5201612903225806,11.584541980726982,8.191508191512288,102.17883388032644,0.8283981091621175,0.894689704996776,0.9390459309727023,58.936079578306355,0.016967535118642123
